name,link,description,rating value,review count,reviews
Lucky Shamrock™ - Returning Favorite,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/lucky-shamrock---returning-favorite/ORCL_1632868.html,"This is a Fresh & Clean fragrance. A touch of the Emerald Isle…the fresh scent of lush, green hills kissed by a sparkle of sunshine. Top notes: Green Notes, Zesty Citrus. Middle notes: Eucalyptus, Hyacinth. Base notes: Cedar Wood, Violet Leaf. Top note is the initial impression of the fragrance, middle note is the main body of the scent and base is its final impression.",4.3,674,"[{""datePublished"": ""2025-03-11T10:02:59.000+00:00"", ""reviewBody"": ""This is one of my favorite scents! It is so clean and fresh and has a great throw"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-11T05:30:10.000+00:00"", ""reviewBody"": ""Lovely grassy scent, nice and clean. Lightly wet, fresh-cut grass. It\u2019s a classic for a reason."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-10T16:30:45.000+00:00"", ""reviewBody"": ""I discovered this candle last year and enjoyed it so much that I bought it again to burn in March. Its fresh green scent is perfect for the end of winter, when your spirits need a lift."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-11T15:30:28.000+00:00"", ""reviewBody"": ""This is my third Lucky Shamrock candle. I really enjoy the natural sence. It's very subtle and pleasant."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-10T06:51:27.000+00:00"", ""reviewBody"": ""I waited all year for this scent to come out. I am originally from Ireland and this reminds me so much of home. I usually buy as many as they have in stock. If you want, the original smells of Ireland, this candle is for you."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-10T07:14:57.000+00:00"", ""reviewBody"": ""I love seeing the classic seasonal fragrances of the past return for limited engagements.  What I would really like to see are the returning favorites be offered in the newer soy blend wax but still in the original apothecary jars.  While paraffin was the original formula and will always be a classic, it burns too slowly, which doesn't allow us to rotate out our fragrances as often as we'd like."", ""ratingValue"": 4}, {""datePublished"": ""2025-03-10T18:46:46.000+00:00"", ""reviewBody"": ""I loved the jar to match my decorations. Also enjoyed the scent. Unfortunately it didnt burn evenly. I endednup with a hole in the middle and hard wax on the sides."", ""ratingValue"": 2}, {""datePublished"": ""2025-03-10T07:15:29.000+00:00"", ""reviewBody"": ""Fresh scent...will repurchase. Each scent so far is pretty well saturated instead of just on the surface like other candles. Scent remains continuous throughout burn time. Love that about Yankee."", ""ratingValue"": 4}]"
Capri Glow,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/capri-glow/ORCL_2643577.html,"This is a Sweet & Spicy fragrance. Bask in the summer glow of Capri’s sandy beaches with scents of sun-kissed amber, frangipani blossoms, and a splash of citrus zest. Top notes: Citrus Zest, Bitter Orange, Myrtle. Middle notes: African Orange Flower, Neroli Blossom, Frangipani. Base notes: Sun-Kissed Amber, Bleached Woods, Sheer Musk, Macadamia. Top note is the initial impression of the fragrance, middle note is the main body of the scent and base is its final impression.",4.8,75,"[{""datePublished"": ""2025-03-08T23:00:15.000+00:00"", ""reviewBody"": ""A beautiful scent.... my house smells sooooo good!"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-09T16:45:32.000+00:00"", ""reviewBody"": ""I just bought this candle and it's my absolute favorite!! I hope they keep this candle around for awhile."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-06T14:12:29.000+00:00"", ""reviewBody"": ""Lovely scent for Spring and summer , I bought for a gift but kept for myself."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-11T08:39:38.000+00:00"", ""reviewBody"": ""New favorite! Mild scent that has vanilla undertones, to me. Not over powering at all. Light and fresh."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-05T17:30:32.000+00:00"", ""reviewBody"": ""amazing scent that lasts and very delightful different scent!"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-05T00:30:22.000+00:00"", ""reviewBody"": ""I've bought these several times and different sizes. The long lasting aroma it gives out by not even lighting up is wonderful. When lit up, the aroma is more pleasant."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-01T13:33:04.000+00:00"", ""reviewBody"": ""Capri glow is a refreshing scent that reminded me of a warm sunny day, the scent of citrus in the air, just a really bright scent that really captures spring and summer. This candle brings me straight to the beach too. There are scents of fresh beach air, a little vanilla scent mixed with citrus. It\u2019s so refreshing! The color is beautiful. It\u2019s a very soft bright color that brings the feeling of a garden from Italy right in to your home! The color is pink/peach color . I love this scent! It definitely can give your home or office a fresh inviting scent. You absolutely will love it! I think the color is very cheerful and will accent any room in both scent and color! I love the glass jar in a large size for the long burn time, safety of a glass jar and being able to enjoy the color through the glass."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-01T05:15:10.000+00:00"", ""reviewBody"": ""Beautiful fragrance, light and bright, clean and fresh. Will be one of my new favorites."", ""ratingValue"": 5}]"
Lemon Gelato,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/lemon-gelato/ORCL_2643574.html,"This is a Citrus fragrance. Cool down your Sicilian summer afternoon with a delicious frozen dessert, complete with scents of icy lemon, sweet gelato, and fizzy citrus. Top notes: Iced Lemon, Lime, Black Currant. Middle notes: Strawberry, Marshmallow, Blackberry. Base notes: Vanilla, Sweet Gelato, Musky Woods, Sugared Citrus. Top note is the initial impression of the fragrance, middle note is the main body of the scent and base is its final impression.",4.8,90,"[{""datePublished"": ""2025-03-11T03:45:14.000+00:00"", ""reviewBody"": ""I love this scent ! It is so refreshing and different from other Lemon scents Ive gotten in the past.Its got that bit of sweetness to the lemon which is lovely"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-10T03:00:19.000+00:00"", ""reviewBody"": ""Soft and distinct fragrance. Fresh and new!! Great color"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-11T14:26:01.000+00:00"", ""reviewBody"": ""Candle has a very weak, almost nonexistent throw when lit, no matter how long it burns. Had high hopes for this candle because it does have a very pleasant and refreshing scent."", ""ratingValue"": 2}, {""datePublished"": ""2025-03-10T14:47:29.000+00:00"", ""reviewBody"": ""The smell is amazing! It\u2019s fresh, lemony, with a hint of vanilla. And can we talk about the design on the candle?! Too cute! I have never splurged on a yankee candle for myself but I am happy with the quality and would consider purchasing from them"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-10T20:15:22.000+00:00"", ""reviewBody"": ""Great Scent  and burns well . Will definitely buy more"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-07T18:44:06.000+00:00"", ""reviewBody"": ""Smelling like \ud83d\udc4d and feeling like the wonderful scent of lemon throughout kitchen.  The lemon smells like a powerful scent of energizing lemon \ud83c\udf4b candies."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-08T22:55:38.000+00:00"", ""reviewBody"": ""not as strong as I prefer.... but is a good smelling candle"", ""ratingValue"": 4}, {""datePublished"": ""2025-03-08T22:55:46.000+00:00"", ""reviewBody"": ""Such a good scent that smells even better when lit. Has a good throw with notes of lemon, ice, and berry background. The entire Italy collection is wonderful, but this a favorite"", ""ratingValue"": 5}]"
Azure Sky,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/azure-sky/ORCL_2643578.html,"This is a Floral fragrance. Aromas of fresh mango, sweet coconut cream, and solar tuberose waft through the air, washing over you like a gentle wave on the Positano coastline. Top notes: Orange, Mango, Pineapple. Middle notes: Coastal Tuberose, Rose, Coconut, Sea Salt. Base notes: Vanilla, Amber, Tropical Musk. Top note is the initial impression of the fragrance, middle note is the main body of the scent and base is its final impression.",4.7,71,"[{""datePublished"": ""2025-03-09T02:00:16.000+00:00"", ""reviewBody"": ""I brought this candle in store. It smell really good! If you like fresh linen scent you will 100% love this!"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-11T11:02:13.000+00:00"", ""reviewBody"": ""Great scent very calming and relaxing.I love yankee candles."", ""ratingValue"": 4}, {""datePublished"": ""2025-03-09T17:37:48.000+00:00"", ""reviewBody"": ""Beautiful scent! Almost makes me feel like I'm on the beach."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-09T17:40:38.000+00:00"", ""reviewBody"": ""This is a heavenly scent of fresh mango that comes through instantly with coconut that just smells divine! Love the combination of scents together, smells fresh and not overwhelming"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-07T02:15:20.000+00:00"", ""reviewBody"": ""Absolutely love the smell of this candle will be ordering it again"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-07T18:04:55.000+00:00"", ""reviewBody"": ""This is not my favorite fragrance. Will not be ordering it again."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-03T18:30:40.000+00:00"", ""reviewBody"": ""Very lightly scented candle. Looks nice with the mosaic light diffuser."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-09T17:34:42.000+00:00"", ""reviewBody"": ""This scent is nothing short of fantastic. It smells clean, fresh, and tropical. I can smell notes of the coconut and mango most vividly. I highly recommend this scent!"", ""ratingValue"": 5}]"
Pistachio Latte,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/pistachio-latte/ORCL_2643569.html,"This is a Sweet & Spicy fragrance. Grab a quick pick-me-up at a Roman coffee bar, where notes of pistachio, creamy coconut milk, and sugared vanilla swirl together in a sumptuous concoction. Top notes: Almond Milk, Crushed Pistachio. Middle notes: Marshmallow, Coconut Milk, Sugar. Base notes: Amber, Musk, Sugared Vanilla. Top note is the initial impression of the fragrance, middle note is the main body of the scent and base is its final impression.",4.5,72,"[{""datePublished"": ""2025-03-10T23:00:27.000+00:00"", ""reviewBody"": ""Got a small candle with a previous order and LOVED pistachio latte! I ordered two large jar candles of this scent after getting the small candle."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-10T21:00:18.000+00:00"", ""reviewBody"": ""Super yummy scent! Highly recommend this one while you can get it."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-11T18:49:42.000+00:00"", ""reviewBody"": ""This one smelled really nice but I think I was expecting a more almond forward fragrance. This ended up being a very warm, nutty fragrance that was sweet and bordering on cloying. A nuttier version of a hazelnut latte, definitely in that realm. I\u2019d love an almond/marzipan forward pistachio ice cream scent in the future! If YC is going off of the pistachio trend right now, this one missed the mark. They definitely should have some more almond!"", ""ratingValue"": 3}, {""datePublished"": ""2025-03-10T18:49:33.000+00:00"", ""reviewBody"": ""I very much like the scent. And the color is a pretty green. I just wish the throw was better. I like strong candles. I ordered and warmer and maybe will help."", ""ratingValue"": 3}, {""datePublished"": ""2025-03-11T15:30:28.000+00:00"", ""reviewBody"": ""Great scent and not overpowering. I have it burning in my kitchen with my St. Patricks day illuma-lid."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-08T22:16:57.000+00:00"", ""reviewBody"": ""Wonderful nutty, sweet and creamy pistachio scent, it's perfect for Spring and glad we have a gourmand option in the beautiful Hello Italy collection!"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-06T03:00:53.000+00:00"", ""reviewBody"": ""Love this smell wish it was just a little more sweet latte smelling"", ""ratingValue"": 4}, {""datePublished"": ""2025-03-07T19:13:02.000+00:00"", ""reviewBody"": ""this burns well but leaves black around surfaces. Also, the smell is not for me, strong and lingers, too bad it was not a pleasant one"", ""ratingValue"": 2}]"
Olive & Cypress,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/olive-cypress/ORCL_2643572.html,"This is a Fresh & Clean fragrance. Stroll through Tuscany’s magnificent forests, surrounded by the captivating fragrances of olive trees, rosemary, and lush cypress. Top notes: Olive, Pink Peppercorn, Rosemary. Middle notes: Avocado, Coriander, Fennel. Base notes: Amber, Moss, Vetiver, Cypress. Top note is the initial impression of the fragrance, middle note is the main body of the scent and base is its final impression.",4.4,64,"[{""datePublished"": ""2025-03-11T15:30:28.000+00:00"", ""reviewBody"": ""I absolutely love the smell of this candle.  It is neutral, not too sweet or pungent.  But...it doesn't have enough of a throw.  I ordered 3 and had them all burning for a week in my family room/kitchen.  The smell was very faint.  I'm going to try the two-wick in this scent, hoping it will be stronger, because it is indeed a great smell."", ""ratingValue"": 4}, {""datePublished"": ""2025-03-10T15:45:52.000+00:00"", ""reviewBody"": ""Fragrance, although soft is very pleasant.\nLike a meadow with cypress trees at the edges"", ""ratingValue"": 4}, {""datePublished"": ""2025-03-10T16:21:38.000+00:00"", ""reviewBody"": ""Pretty color\u2014that\u2019s about it -  poor scent.  I was so excited for this scent but so disappointed"", ""ratingValue"": 1}, {""datePublished"": ""2025-03-09T15:33:15.000+00:00"", ""reviewBody"": ""This is a lovely, fresh,clean scent.  It's on the lighter side and a little hard to describe."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-10T20:15:22.000+00:00"", ""reviewBody"": ""I was a little iffy on this candle scent, but I\u2019m so glad I bought it! It\u2019s light and fresh and I received many compliments on the smell. I\u2019ll definitely buy this again and again!"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-09T06:58:51.000+00:00"", ""reviewBody"": ""Refreshing scents of rosemary come through with candle. Smells very subtle throughout the  house and not overbearing, love the combination of fresh wood and rosemary"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-09T16:45:32.000+00:00"", ""reviewBody"": ""Wonderful blend of fragrances.  Has a floral scent with savory undertones."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-09T06:58:41.000+00:00"", ""reviewBody"": ""It's as if I'm cooking a savory dish in my kitchen."", ""ratingValue"": 5}]"
Sun Club - Lemon & White Rose,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/sun-club---lemon-white-rose/ORCL_2659004.html,"This is a Citrus fragrance. Break free from the sidelines with scents of lemon, white rose, and vanilla — at the sun club, a little fun goes a long way. Top notes: Fresh-Squeezed Orange, Mandarin, Lemon. Middle notes: Jasmine, White Rose, Juniper. Base notes: Sandalwood, Vanilla, Water Musk. Top note is the initial impression of the fragrance, middle note is the main body of the scent and base is its final impression.",4.3,7,"[{""datePublished"": ""2025-03-11T08:15:30.000+00:00"", ""reviewBody"": ""The smell lights up the room and smells fantastic as the candle lingers all over"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-06T17:00:28.000+00:00"", ""reviewBody"": ""A great option for the kitchen! Love the lemon fragrance."", ""ratingValue"": 4}, {""datePublished"": ""2025-03-06T16:16:29.000+00:00"", ""reviewBody"": ""One of my very favorites is Yankee Candle lemon anything. I also love rose. This was a no for me. While there was definite lemon, I got little (no) rose and a mix of either men's aftershave or laundry soap. Not what I was expecting at all. Very strong on the \""fake\"" strong smells that overpowered the lemon and completely absorbed the rose I was hoping for. That being said, I am a die hard Yankee Candle fan. This one just missed."", ""ratingValue"": 1}]"
On the Green - Pear & Water Lily,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/on-the-green---pear-water-lily/ORCL_2659026.html,"This is a Fresh & Clean fragrance. As you make your approach, all goes quiet…fragrance notes of pear, water lily, and fresh cut grass invigorate your sense of concentration. Top notes: Bergamot, Cassis Bud, Pear. Middle notes: Water Lily, Cucumber, Jasmine, Fresh Cut Grass. Base notes: Sandalwood, Coconut Water, Vanilla. Top note is the initial impression of the fragrance, middle note is the main body of the scent and base is its final impression.",5.0,10,"[{""datePublished"": ""2025-03-11T15:45:30.000+00:00"", ""reviewBody"": ""New fragrance- love the mild pear and floral scent- great combination"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-09T21:15:26.000+00:00"", ""reviewBody"": ""This fragrance reminds of shopping in the produce section of the grocery store."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-09T18:00:18.000+00:00"", ""reviewBody"": ""I love the pear and lily scent!! This will be added to my list of favorites!"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-09T01:45:14.000+00:00"", ""reviewBody"": ""Very clean scent.Not too heavy fresh spring flowers"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-10T20:15:22.000+00:00"", ""reviewBody"": ""I haven't burned green pear & water lily but it smells so good! Can't wait to light it and it will be soon.   Love the color too."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-07T19:24:26.000+00:00"", ""reviewBody"": ""I love the scent of this candle. Very nice fruity green smell. Very pleasant scent"", ""ratingValue"": 5}]"
By the Pool - Amber & Coconut,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/by-the-pool---amber-coconut/ORCL_2658992.html,"This is a Fresh & Clean fragrance. After a full day of fun at the club, relax under an umbrella beside the pool with aromas of salted coconut, mineral amber, and just a hint of chlorine accord. Top notes: Citrus, Green, Chlorine Accord. Middle notes: Salted Coconut, Vanilla Bean, Lactonic. Base notes: Violet, Mineral Amber. Top note is the initial impression of the fragrance, middle note is the main body of the scent and base is its final impression.",4.6,9,"[{""datePublished"": ""2025-03-09T22:00:24.000+00:00"", ""reviewBody"": ""I always go to the one in Staten Island alssy. Very nice person I did stop when you guys send her to New Jersey now now she is back I love \ud83d\udc9c"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-08T20:00:36.000+00:00"", ""reviewBody"": ""This one I love!   Can't wait to burn it.   Beautiful color and the smell is amazing,"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-07T01:00:14.000+00:00"", ""reviewBody"": ""By the Pool is an awesome scent.  It is so refreshing and clean smell.  It is now my favorite"", ""ratingValue"": 5}, {""datePublished"": ""2025-03-10T16:29:25.000+00:00"", ""reviewBody"": ""I bought this scent hoping for a coconut sun tan lotion mixed with outdoor scent. To me, it was gross. It was reminiscent of old man cologne, cheap laundry detergent and fake grass smell. Reminded me of the very strong smell of the midsummer night scent. (My least favorite.) Sorry. Honest review. I love Yankee Candle. This one missed for me."", ""ratingValue"": 1}]"
Lucky Sweater - Musk & Geranium,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/lucky-sweater---musk-geranium/ORCL_2658996.html,"This is a Fresh & Clean fragrance. Wrap your good-luck charm around your shoulders for a boost of confidence and optimism as you hit the court. Surrounded by notes of geranium, musk, and an all-too-familiar embrace, you’re ready to bounce back. Top notes: Bergamot, Sweater Aldehydes, Almond. Middle notes: Geranium, Jasmine, Orange Blossom, Aloe Vera. Base notes: Amber, Sandalwood, Musk. Top note is the initial impression of the fragrance, middle note is the main body of the scent and base is its final impression.",4.4,5,"[{""datePublished"": ""2025-03-10T20:15:22.000+00:00"", ""reviewBody"": ""I probably a hoarder when it comes to Yankee, Yankee anything!!!    I have not burned this one yet, but I will, and it will be soon.  Wonderful smelling candle and beautiful color."", ""ratingValue"": 5}, {""datePublished"": ""2025-03-10T19:56:32.000+00:00"", ""reviewBody"": ""Best Candle! The best fragrance candle. Smells so good and fills the room."", ""ratingValue"": 5}]"
