name,fragrance_family
Lucky Shamrock™ - Returning Favorite,Fresh & Clean
Capri Glow,Sweet & Spicy
Lemon Gelato,Citrus
Azure Sky,Floral
Pistachio Latte,Sweet & Spicy
Olive & Cypress,Fresh & Clean
Sun Club - Lemon & White Rose,Citrus
On the Green - Pear & Water Lily,Fresh & Clean
By the Pool - Amber & Coconut,Fresh & Clean
Lucky Sweater - Musk & Geranium,Fresh & Clean
Social Birdie - Melon & Spun Sugar,Fruity
Strawberry Bunny Shortcake,Sweet & Spicy
Pink Sands™,Floral
Lemon Lavender,Citrus
Fresh Cut Roses,Floral
Lilac Blossoms,Floral
Vineyard® - Returning Favorite,Fruity
Sage & Citrus,Citrus
Clean Cotton®,Fresh & Clean
White Gardenia,Floral
Cherry Lemonade - Returning Favorite,Fruity
MidSummer's Night®,Fresh & Clean
Sun & Sand®,Floral
Home Sweet Home®,Sweet & Spicy
Coconut Beach,Fruity
Macintosh,Fruity
Ocean Star™ - Returning Favorite,Fresh & Clean
Tangerine & Vanilla,Citrus
Mango Peach Salsa,Fruity
Beach Walk®,Floral
Black Cherry,Fruity
Belgian Waffles - Returning Favorite,Sweet & Spicy
Sicilian Lemon,Citrus
Balsam & Cedar,Woody
Warm Luxe Cashmere,Fresh & Clean
New England Blueberry,Fruity
Flowers in the Sun,Floral
Dried Lavender & Oak,Woody
Midnight Jasmine,Floral
Meadow Showers,Fresh & Clean
Vanilla Lime,Sweet & Spicy
Pineapple Cilantro,Fruity
Bahama Breeze™,Fruity
Seaside Woods,Woody
Catching Rays™,Fresh & Clean
Sakura Blossom Festival,Floral
Lavender Vanilla,Floral
Kitchen Spice™,Sweet & Spicy
Buttercream®,Sweet & Spicy
Cinnamon Stick,Sweet & Spicy
Chocolate Layer Cake,Sweet & Spicy
Soft Blanket™ - Returning Favorite,Fresh & Clean
Mediterranean Breeze,Fresh & Clean
Vanilla Cupcake,Sweet & Spicy
French Vanilla,Sweet & Spicy
A Calm & Quiet Place,Floral
Cucumber Mint Cooler,Citrus
Sparkling Cinnamon,Sweet & Spicy
Jamaica Vibes,Fresh & Clean
’Tis the Sea-Sun in Sydney,Floral
Summit Stargazing,Floral
Sparkling Winterberry,Fresh & Clean
Colorful Curaçao,Fruity
St Lucia Skies,Floral
Santa On Skis,Fruity
Blueberry - Returning Favorite,Fruity
Autumn DayDream,Fresh & Clean
Magical Bright Lights,Fresh & Clean
Shimmering Christmas Tree,Woody
White Strawberry Bellini,Fruity
Juicy Watermelon,Fruity
Cotton Candy - Returning Favorite,Sweet & Spicy
Jelly Beans,Sweet & Spicy
Sparkling Winterberry,Fresh & Clean
Honey Clementine,Citrus
Café Al Fresco,Sweet & Spicy
Salted Caramel,Sweet & Spicy
Pumpkin Cinnamon Swirl,Sweet & Spicy
Shimmering Christmas Tree,Woody
Mountain Lodge™,Woody
Life's A Breeze,Fresh & Clean
New England Maple,Sweet & Spicy
Strawberry Lemon Ice,Fruity
Williamsburg Pineapple,Fruity
Log Cabin Flannel,Woody
Campfire Cocktail,Fruity
Cliffside Sunrise,Fruity
Holiday Bayberry™,Fresh & Clean
Williamsburg Bayberry,Fresh & Clean
Wedding Day®,Floral
Slopeside Spritz,Citrus
Sugared Cinnamon Apple,Fruity
Salted Caramel,Sweet & Spicy
Snow Globe Wonderland,Woody
